id,user,date,content,clean_content
-2980984018328502248,Anil,2025-10-02T03:16:36.000Z,Note to solo drivers: Bengaluru may soon charge you a congestion tax,note to solo drivers bengaluru may soon charge you a congestion tax
-6936304278898562296,ZEE २४ तास,2025-10-02T03:02:17.000Z,"एकट्याने प्रवास करणाऱ्यांना भरावा लागणार 'कंजेशन टॅक्स'? शहरातल्या शहरात फिरण्यासाठीही पैसे मोजायचे?

https://
zeenews.india.com/marathi/techno
logy/explained-what-is-congestion-tax-how-it-works-why-it-is-hot-topic-in-bengaluru-dcm-dk-shivakumar-recats-traffic-issue/943736
… < येथे वाचा सविस्तर वृत्त...
#explained #congestiontax #Tax #dkshivakumar #traffic #trafficupdates","           


zeenewsindiacommarathitechno
logyexplainedwhatiscongestiontaxhowitworkswhyitishottopicinbengalurudcmdkshivakumarrecatstrafficissue
     
explained congestiontax tax dkshivakumar traffic trafficupdates"
7288476464841439878,Viraj Damle ,2025-10-01T18:12:56.000Z,"Alleviate traffic congestion in Shilphata - Sign the Petition! 
https://
chng.it/bMSjGpyDDZ via 
@ChangeOrg_India","alleviate traffic congestion in shilphata  sign the petition 

chngitbmsjgpyddz via 
"
-8058215678060593867,Nancy D,2025-10-01T18:09:36.000Z,"Watch a few videos of India, traffic, smog, congestion.",watch a few videos of india traffic smog congestion
8437693369356608823,Gourab Basu,2025-10-01T16:13:42.000Z,"Just came to ho chi minh city vietnam.
Vietnam is not 1st world country, 
It's a congested city, lot of traffic, a lot of scooters and bikes like india, But roads, footpaths and cleanliness is so good. Even with all the congestion. 
It's all about intent . we should demand better","just came to ho chi minh city vietnam
vietnam is not st world country 
its a congested city lot of traffic a lot of scooters and bikes like india but roads footpaths and cleanliness is so good even with all the congestion 
its all about intent  we should demand better"
720144977043652502,Thakur Foundation,2025-10-01T13:59:16.000Z,"Respected 
@DelhiPolice
 
@DCPWestDelhi
 
@CMODelhi
 
@dtptraffic
, kindly update the signal at Dada Satram Mamtani Marg, Janakpuri, New Delhi, Delhi 110058, India
Lat 28.609328, Long 77.098995 red light and deploy traffic staff during peak office hours to ease congestion.","respected 

 

 

 

 kindly update the signal at dada satram mamtani marg janakpuri new delhi delhi  india
lat  long  red light and deploy traffic staff during peak office hours to ease congestion"
8155306302327448463,Thakur Foundation,2025-10-01T13:08:17.000Z,"Respected 
@DelhiPolice
 
@DCPNewDelhi
 
@CMODelhi
 
@dtptraffic
, kindly update the signal at New Delhi, Delhi, India
Dr S Radha Krishnan Marg, Chanakyapuri, New Delhi  110021
Lat 28.589601, Long 77.175664 red light and deploy traffic staff during peak office hours to ease congestion.","respected 

 

 

 

 kindly update the signal at new delhi delhi india
dr s radha krishnan marg chanakyapuri new delhi  
lat  long  red light and deploy traffic staff during peak office hours to ease congestion"
-318838103620584821,AajTak,2025-10-01T07:20:03.000Z,"कर्नाटक की सिद्धारमैया सरकार ने बेंगलुरु के लिए कंजेशन टैक्स लगाने की खबरों को खारिज कर दिया है.  

#Karnataka #Siddaramaiah  | 
@sagayrajp
 
@nagarjund","                   

karnataka siddaramaiah   

 
"
-1981196376704172176,Bharat Observers,2025-10-01T07:05:26.000Z,"Traffic gridlocks dominate India’s metros!

 Bengaluru tops with 50–55% congestion, followed by Mumbai & Pune.

Check the video to see the Top 10 Indian Cities with the Worst Traffic – 2025","traffic gridlocks dominate indias metros

 bengaluru tops with  congestion followed by mumbai  pune

check the video to see the top  indian cities with the worst traffic  "
714651488163821069,Sheriff Rango ,2025-10-01T07:01:20.000Z,Congestion tax is charged in most developed countries to ease traffic. Here in India it's charged to encourage car-pool - it should actually be charged on all vehicles to encourage public transport adoption.,congestion tax is charged in most developed countries to ease traffic here in india its charged to encourage carpool  it should actually be charged on all vehicles to encourage public transport adoption
-1143342960880986307,Let's Deinfluence,2025-10-01T05:08:24.000Z,"Silicon Valley of India? Or Silicon Traffic Jam of India? 

Bengaluru loses  crores in productivity, fuel burns in traffic, health suffers — but the solution? “Congestion Tax”!  
Common log punished, corrupt system untouched.

Roads collapse every monsoon, metro expansion is a","silicon valley of india or silicon traffic jam of india 

bengaluru loses  crores in productivity fuel burns in traffic health suffers  but the solution congestion tax  
common log punished corrupt system untouched

roads collapse every monsoon metro expansion is a"
3251628056420199572,Melvin Louis,2025-10-01T01:58:24.000Z,"@DKShivakumar
 instead of  congestion tax, Non KA vehicles should be thoroughly checked for valid papers. There seems to be a sudden influx of pre owned vehicles from DL and HR. 

Bengaluru Congestion Tax: DK Shivakumar Denies Plan Amid Traffic Debate","
 instead of  congestion tax non ka vehicles should be thoroughly checked for valid papers there seems to be a sudden influx of pre owned vehicles from dl and hr 

bengaluru congestion tax dk shivakumar denies plan amid traffic debate"
3051458406068431485,shailendra kumar,2025-09-30T18:28:54.000Z,Why do they make high rise buildings where there is congestion? Demolish top 5/10 floors of each high rise. It is the congestion mentality in architectural planning in India thats made a mess of traffic in india. Indians don't believe in pers space as indvls  & neither in cars.,why do they make high rise buildings where there is congestion demolish top  floors of each high rise it is the congestion mentality in architectural planning in india thats made a mess of traffic in india indians dont believe in pers space as indvls   neither in cars
8579431357152438316,National Herald,2025-09-30T14:01:43.000Z,"Efforts to reduce Delhi's traffic congestion — including elevated roads, metro expansions, and proposed elevated #RingRoad — having unintended impact on Delhi’s natural drainage system, says new #DrainageMasterPlan",efforts to reduce delhis traffic congestion  including elevated roads metro expansions and proposed elevated ringroad  having unintended impact on delhis natural drainage system says new drainagemasterplan
-406083071425316244,Vishal Sahu,2025-09-30T12:52:06.000Z,"Congress when in Govt : Bengaluru, often called India’s traffic capital, may soon see a new penalty for solo commuters. Authorities are set to test a “congestion tax” for people travelling alone in vehicles during peak traffic hours. The trial will run for three months. ",congress when in govt  bengaluru often called indias traffic capital may soon see a new penalty for solo commuters authorities are set to test a congestion tax for people travelling alone in vehicles during peak traffic hours the trial will run for three months 
-4651993916820892996,Mathrubhumi English,2025-09-30T12:22:48.000Z,"Note to solo drivers: Bengaluru may soon charge you a congestion tax 
#Bengaluru #congestiontax  #OuterRingRoad #trafficjam #traffic","note to solo drivers bengaluru may soon charge you a congestion tax 
bengaluru congestiontax  outerringroad trafficjam traffic"
2663208062536108918,Deccan Herald,2025-09-30T11:06:32.000Z,Urban experts have yet again suggested introducing a congestion #tax in #Bengaluru as a step towards easing the ever-increasing #trafficproblems in the city.,urban experts have yet again suggested introducing a congestion tax in bengaluru as a step towards easing the everincreasing trafficproblems in the city
3047540382432912118,shwetank singh,2025-09-30T08:50:46.000Z,"Bengaluru people, after paying the highest road tax in India for pothole full roads and heavy traffic, are now being considered for a congestion tax. They will be like:",bengaluru people after paying the highest road tax in india for pothole full roads and heavy traffic are now being considered for a congestion tax they will be like
3401240835679486639,ITS India Forum,2025-09-30T07:05:57.000Z,"""MLFF = Cleaner, Faster, Smarter Mobility
No toll barriers → less congestion, fuel savings & lower emissions. A real boon for India’s urban traffic & pollution woes."" Mr Sachin Bhatia, CEO, Metra Infosys Technology
#MLFF #SmartMobility #CleanTransport #DigitalIndia","mlff  cleaner faster smarter mobility
no toll barriers  less congestion fuel savings  lower emissions a real boon for indias urban traffic  pollution woes mr sachin bhatia ceo metra infosys technology
mlff smartmobility cleantransport digitalindia"
-3503487189011499626,Rahul Yadav,2025-09-30T04:22:30.000Z," Karnataka Eyes Congestion Tax 
The state govt is planning a “congestion tax” on single-occupancy cars, starting with Bengaluru’s Outer Ring Road, to ease traffic & boost public transport use. 

#Karnataka #BengaluruTraffic #CongestionTax #UrbanMobility #India"," karnataka eyes congestion tax 
the state govt is planning a congestion tax on singleoccupancy cars starting with bengalurus outer ring road to ease traffic  boost public transport use 

karnataka bengalurutraffic congestiontax urbanmobility india"
-6277514432349476774,Prathap Reddy T,2025-09-30T03:56:58.000Z,"Heartbreaking to see such news… Bengaluru’s bad roads are not just about traffic congestion – they are tragically claiming the lives of innocent people. 

@DKShivakumar
 
@GBA_office
 
@BJP4India
 
@CMofKarnataka
 
@karnatakaportf
 
@CivicOp_india
 #bangaloretraffic","heartbreaking to see such news bengalurus bad roads are not just about traffic congestion  they are tragically claiming the lives of innocent people 


 

 

 

 

 

 bangaloretraffic"
-6555276185899163464,Grok,2025-09-29T19:26:10.000Z,"In India, emergency calls (like 112) are prioritized during network congestion from large gatherings, allowing them to connect via any available carrier tower and potentially preempt non-emergency traffic. However, in extreme overload where all capacity is exhausted, the call",in india emergency calls like  are prioritized during network congestion from large gatherings allowing them to connect via any available carrier tower and potentially preempt nonemergency traffic however in extreme overload where all capacity is exhausted the call
-8803848934109175451,RJ ARYAN,2025-09-29T17:49:27.000Z,"India to test Congestion Tax in Bengaluru: Solo drivers in traffic will be charged for 3 months. If successful, the rule may be rolled out nationwide.

#CongestionTax","india to test congestion tax in bengaluru solo drivers in traffic will be charged for  months if successful the rule may be rolled out nationwide

congestiontax"
5178431097194195899,Grok,2025-09-29T07:54:43.000Z,"Based on studies from NYC, congestion pricing reduces peak-hour travel times by 10-30%. Carpooling can cut traffic by 2-5%, aiding further reductions. In India, bike taxis could increase speeds by 10-15% by reducing vehicles, equating to ~10% less time. Combined, expect 20-40%",based on studies from nyc congestion pricing reduces peakhour travel times by  carpooling can cut traffic by  aiding further reductions in india bike taxis could increase speeds by  by reducing vehicles equating to  less time combined expect 
-3352003629405216386,Grok,2025-09-28T07:02:56.000Z,"Bengaluru's ""third worst"" ranking is specifically for traffic congestion (TomTom Index 2024), with drivers spending ~117 hours yearly in rush-hour jams. Yet, people keep coming for jobs due to its status as India's Silicon Valley: vast IT opportunities, higher salaries (avg.",bengalurus third worst ranking is specifically for traffic congestion tomtom index  with drivers spending  hours yearly in rushhour jams yet people keep coming for jobs due to its status as indias silicon valley vast it opportunities higher salaries avg
-3568929230195262093,Frustrated Urban commuters,2025-09-28T02:33:15.000Z,"@YTKDIndia
 #YeThikKarKeDikhao 10000s of flars, high rise apartments complexes being permitted without any Drain plans, Road traffic congestion assessment, Flood water control Storm water lines, RWH ponds around them, Footpaths, etc? 
@MoHUA_India
 
@HMDA_Gov
 
@revanth_anumula","
 yethikkarkedikhao s of flars high rise apartments complexes being permitted without any drain plans road traffic congestion assessment flood water control storm water lines rwh ponds around them footpaths etc 

 

 
"
-7379644904131246487,Karnataka Portfolio,2025-09-27T15:38:49.000Z,"Is this what “Brand Bengaluru” has been reduced to?
The city once hailed as India’s “Garden City” and proudly called the “Silicon Valley of India” now finds itself shamefully ranked among the worst three cities in the world for traffic congestion. What exactly have all the","is this what brand bengaluru has been reduced to
the city once hailed as indias garden city and proudly called the silicon valley of india now finds itself shamefully ranked among the worst three cities in the world for traffic congestion what exactly have all the"
-5129193974182664573,Jayanta Mallabaruah,2025-09-27T14:37:57.000Z,"Delighted to participate in the inauguration ceremony of two landmark flyovers by Hon’ble CM Dr. 
@himantabiswa
 dangoriya this evening, marking a significant step towards easing traffic congestion and enhancing the regional connectivity of Guwahati, the gateway to Northeast India.","delighted to participate in the inauguration ceremony of two landmark flyovers by honble cm dr 

 dangoriya this evening marking a significant step towards easing traffic congestion and enhancing the regional connectivity of guwahati the gateway to northeast india"
-2360080167587177603,Ministry of Steel,2025-09-27T13:30:00.000Z,"Public transport and carpooling reduce pollution and traffic congestion.  Let’s make cleaner commutes our habit.

#SHS2025 #SwachhataHiSeva2025 #Swachhotsav
#GreenCommute


@PMOIndia
 
@hd_kumaraswamy
 
@BjpVarma
 
@MoHUA_India
 
@SwachhBharatGov
 
@PIB_India
 
@mygovindia","public transport and carpooling reduce pollution and traffic congestion  lets make cleaner commutes our habit

shs swachhatahiseva swachhotsav
greencommute



 

 

 

 

 

 
"
-2070268972875659875,Thakur Foundation,2025-09-27T12:35:41.000Z,"Respected 
@police_haryana
 , 
@cmohry
 kindly deploy Traffic staff at Manesar, Haryana, India
Delhi Jaipur Expressway, Manesar, Manesar, Haryana
122051, India
Lat 28.358574, Long 76.939286 hours to ease congestion. Install divider","respected 

  

 kindly deploy traffic staff at manesar haryana india
delhi jaipur expressway manesar manesar haryana
 india
lat  long  hours to ease congestion install divider"
8177067542016217511,VG,2025-09-30T02:06:28.000Z,"Dude I live in a shit hole called Bangalore. No footpaths, dust everhere, poholes, no drainage, yamrajs on the road, traffic jam for hours, adulterated food. India's metros are hell holes. No comparison with Western cities.",dude i live in a shit hole called bangalore no footpaths dust everhere poholes no drainage yamrajs on the road traffic jam for hours adulterated food indias metros are hell holes no comparison with western cities
-7069589975369628717,Rudresh.07,2025-09-29T16:52:45.000Z,"RSS isn't a political organization kid  trying hard to be next dhruv rathe , sit in foreign land and bark daily on internal matters of India.

Tu London me rehta hai waha roz mulle road jam karke rally nikalte hai, namaz padhte hai ","rss isnt a political organization kid  trying hard to be next dhruv rathe  sit in foreign land and bark daily on internal matters of india

tu london me rehta hai waha roz mulle road jam karke rally nikalte hai namaz padhte hai "
-3015684847454339067,Ꮢohit Jaiswal,2025-09-29T12:24:43.000Z,"Traffic jam ka logic hi ajeeb hai. 2 km ka distance = 45 min ka patience test. Aur sab log horn bajate jaise unke bajane se road khul jaayega. Bhai agar horn se jam khulta, toh India me kabhi red light hota hi nahi. ",traffic jam ka logic hi ajeeb hai  km ka distance   min ka patience test aur sab log horn bajate jaise unke bajane se road khul jaayega bhai agar horn se jam khulta toh india me kabhi red light hota hi nahi 
-2635136860705273082,Grok,2025-09-25T07:02:12.000Z,"The incident is real. Multiple news outlets (e.g., Indian Express, Times of India, Deccan Herald) report a woman in Vadodara sat on a road near Sursagar Lake on Sept 19, 2025, protesting after a vendor served her 4 pani puris instead of 6 for ₹20. It caused a traffic jam; police",the incident is real multiple news outlets eg indian express times of india deccan herald report a woman in vadodara sat on a road near sursagar lake on sept   protesting after a vendor served her  pani puris instead of  for  it caused a traffic jam police
1107236056685319739,DD News,2025-09-24T19:15:29.000Z,"#DECODE | From Silicon Valley to Traffic Jam Valley? Karnataka CM’s Urgent Road Request to WIPRO

Watch full video – 
https://
youtube.com/watch?v=Oani9X
xS65I
…


@sudhirchaudhary

#SiliconValley #India #Karnataka #Benguluru #TrafficJam #WIPRO #TechCity #decodewithsudhirchaudhary #DDNewslive","decode  from silicon valley to traffic jam valley karnataka cms urgent road request to wipro

watch full video  

youtubecomwatchvoanix
xsi





siliconvalley india karnataka benguluru trafficjam wipro techcity decodewithsudhirchaudhary ddnewslive"
-2115687353616997642,India TV,2025-09-23T09:14:56.000Z,"CM सिद्धारमैया ने अजीम प्रेमजी को लिखा खत, बेंगलुरु में ट्रैफिक जाम से जुड़ा है मामला",cm               
-2333466910239016918,Ajay Singhal,2025-09-22T15:06:02.000Z,"If govt really wish to establish roads discipline & civic sense in India then it's necessary to implement stricter roads & traffic system.
It will even then take years to get people used to of such system & become disciplined in their individual behavior.","if govt really wish to establish roads discipline  civic sense in india then its necessary to implement stricter roads  traffic system
it will even then take years to get people used to of such system  become disciplined in their individual behavior"
-805734768977350651,Sunil Bhosale,2025-09-22T10:52:23.000Z,"@htTweets

IN THIS CHAOS,I HAVE NEVER COME ACROSS ANY EMERGENCY VEHICLE BEING BLOCKED FOR LAST 16 YRS COMING BACK FROM ABROAD. I LOVE MY INDIA. SOMETIMES TOO MUCH DISCIPLINE ALSO IS BORING. 
Source: Hindustan Times","

in this chaosi have never come across any emergency vehicle being blocked for last  yrs coming back from abroad i love my india sometimes too much discipline also is boring 
source hindustan times"
3301134117473068672,Ajay Trivedi,2025-09-21T16:33:38.000Z,"I think he knows now this his last term so he is not working the way he used to work earlier. Quality of road construction is very poor now. People are dying but he doesn’t bother anymore.
@Nitin_gadkari



https://
freepressjournal.in/amp/indore/ind
ore-shocker-potholes-on-rau-flyover-claims-youths-life-brother-injured
…


https://
business-standard.com/amp/india-news
/nhai-mp-high-court-notice-indore-bypass-traffic-jam-deaths-125070101420_1.html
…","i think he knows now this his last term so he is not working the way he used to work earlier quality of road construction is very poor now people are dying but he doesnt bother anymore





freepressjournalinampindoreind
oreshockerpotholesonrauflyoverclaimsyouthslifebrotherinjured




businessstandardcomampindianews
nhaimphighcourtnoticeindorebypasstrafficjamdeathshtml
"
-3414138994517812669,Anish Singh,2025-09-21T15:44:30.000Z,"Here is the road infront of 
@IIM_Bangalore
. There is no road on the side, during peak hours its jam packed n people have to take the broken road.  On the opposite side its  
@fortis_hospital
 drainage is always overflowing 
@GBAChiefComm
 
@TVMohandasPai
 
@CivicOp_india
 
@ChristinMP_","here is the road infront of 

 there is no road on the side during peak hours its jam packed n people have to take the broken road  on the opposite side its  

 drainage is always overflowing 

 

 

 
"
6405035666032760885,Ashish Mishra,2025-09-21T10:39:53.000Z,Modi government kai support kai binaa aukat nahi nahi bol daay yai baat full support modi kill hindu and convert all of islam and kischanity full support modi hindu give you good vote rajsthan and all over india noo road jam another religion sare taan say juda abb tak,modi government kai support kai binaa aukat nahi nahi bol daay yai baat full support modi kill hindu and convert all of islam and kischanity full support modi hindu give you good vote rajsthan and all over india noo road jam another religion sare taan say juda abb tak
-9189806639972763340,Karan,2025-09-20T16:09:21.000Z,"was driving in a two lane road, and there was lot of traffic. Autos and bikers immediately cut across and drove on wrong side, causing a jam on the other side as well. 

urban dehaat is real and no one can fix it in India. nor does anyone care.","was driving in a two lane road and there was lot of traffic autos and bikers immediately cut across and drove on wrong side causing a jam on the other side as well 

urban dehaat is real and no one can fix it in india nor does anyone care"
4881686640369993505,RAJENDER SHARMA,2025-09-20T10:47:48.000Z,"How about the worst road conditions from Dharuhera to Gurgaon?? Bilaspur jam is a daily affair, who cares?",how about the worst road conditions from dharuhera to gurgaon bilaspur jam is a daily affair who cares
636343916096776916,Grok,2025-09-20T05:19:30.000Z,The incident checks out. Multiple sources like Times of India and ABP Live report a woman in Vadodara protested on the road near Sursagar Pond after a vendor gave her 4 pani puris instead of 6 for ₹20. Police intervened to resolve the traffic jam and calm her. Viral videos,the incident checks out multiple sources like times of india and abp live report a woman in vadodara protested on the road near sursagar pond after a vendor gave her  pani puris instead of  for  police intervened to resolve the traffic jam and calm her viral videos
6128068736419232815,RAJAT SINGH,2025-09-20T04:51:25.000Z,"This is the reality. Appreciate 
@myogiadityanath
 is singing song of jewar airport but did he know, how the passenger will reach jewar airport?
Through Shahberi..... single lane road of crossing republik Shahberi can take the pressure of passenger","this is the reality appreciate 

 is singing song of jewar airport but did he know how the passenger will reach jewar airport
through shahberi single lane road of crossing republik shahberi can take the pressure of passenger"
5417082140707664236,BharatMindset,2025-09-20T02:34:51.000Z,"India is probably the worst in the world, we're a true 3rd world.

Yesterday I got in a jam and had to spend 30 mins to cross a 100 meter, stretch on a 3 lane 1 side highway, reason, some procession, no police no permission, peak evening time, circus in the centre of the road.","india is probably the worst in the world were a true rd world

yesterday i got in a jam and had to spend  mins to cross a  meter stretch on a  lane  side highway reason some procession no police no permission peak evening time circus in the centre of the road"
-2181437075524866143,Grok,2025-09-19T15:43:13.000Z,"Yes, it appears real. Multiple news outlets like NDTV, Times of India, and Indian Express report a woman in Vadodara protested by sitting on the road after getting 4 pani puris instead of 6 for ₹20. Police intervened to resolve the traffic jam. The video matches the",yes it appears real multiple news outlets like ndtv times of india and indian express report a woman in vadodara protested by sitting on the road after getting  pani puris instead of  for  police intervened to resolve the traffic jam the video matches the
6691553767985474762,Pradeep Kumar Shukla,2025-09-19T15:42:26.000Z,"@dtptraffic
 recently Road digged up near India surgical and it is closed. However traffic is routed from masoodpur to Mahipalpur via flyover. However several vehicles are still going wrong side from Masudpur to Vasant Vihar and that leads to traffic jam and safety issues. Pls act","
 recently road digged up near india surgical and it is closed however traffic is routed from masoodpur to mahipalpur via flyover however several vehicles are still going wrong side from masudpur to vasant vihar and that leads to traffic jam and safety issues pls act"
-1200139603392882644,Balaji,2025-09-19T14:48:03.000Z,"Are you in that traffic jam to say about this ? What if vehicles are going through that road regularly and suddenly bus caves in because of rains and you are blaming driver !
Divert the blame to common people?","are you in that traffic jam to say about this  what if vehicles are going through that road regularly and suddenly bus caves in because of rains and you are blaming driver 
divert the blame to common people"
-8287204337122866796,anandabazar.com,2025-09-19T12:59:50.000Z,"যানজটের জেরে শিশুর মৃত্যু!
#trafficjam #mumbai","   
trafficjam mumbai"
-647246207857325298,A void,2025-09-19T03:07:17.000Z,"3+ years in Bengaluru and I’m done. The “Silicon Valley of India” feels more like the “Traffic Jam Capital.” Step out to see the city → stuck on the same pothole-ridden road 24/7. 
Pehli fursat mein nikal liya."," years in bengaluru and im done the silicon valley of india feels more like the traffic jam capital step out to see the city  stuck on the same potholeridden road  
pehli fursat mein nikal liya"
1976794838675922733,its just me,2025-09-18T17:02:11.000Z,"service road frm rammurthy nagar to Kasturi nagar sees jam only bec ppl don't want to break the backbone & vehicles. No other reason 
Pathetic condition of 
@NammaBengaluroo
 roads.

@ChristinMP_
 
@bengalurupost1
 
@CivicOp_india
 
@anil_lulla
 
@GBA_office
 
@HennurBlr
 
@osd_cmkarnataka","service road frm rammurthy nagar to kasturi nagar sees jam only bec ppl dont want to break the backbone  vehicles no other reason 
pathetic condition of 

 roads


 

 

 

 

 

 
"
8184158029583483618,Chitresh Ranka,2025-09-17T09:05:47.000Z,"Students are getting delayed everyday, walkers are facing issues to cross the road, entire traffic is dependent on the other side road leading to chaotic traffic jam everyday. And all of this is happening specially when Half Yearly exams are going on. Is India really developing??",students are getting delayed everyday walkers are facing issues to cross the road entire traffic is dependent on the other side road leading to chaotic traffic jam everyday and all of this is happening specially when half yearly exams are going on is india really developing
-3338519958848227900,A,2025-09-17T08:34:05.000Z,"https://
thelallantop.com/india/post/bla
ckbuck-ceo-announced-to-leave-bengaluru-office-due-to-potholes-in-roads-and-traffic-jam
…


@nitin_gadkari
  pathhole man of India 
Give some attention to your dept your are road and transport minister not petroleum minister and use your 200cr brain and fix this road issue 
Your are not transport man your are man created image over PR","
thelallantopcomindiapostbla
ckbuckceoannouncedtoleavebengaluruofficeduetopotholesinroadsandtrafficjam




  pathhole man of india 
give some attention to your dept your are road and transport minister not petroleum minister and use your cr brain and fix this road issue 
your are not transport man your are man created image over pr"
-8672425298665241383,Dal Bati Churma,2025-09-17T06:37:51.000Z,Sarjapur Road is pathetic daily there is a jam on this road,sarjapur road is pathetic daily there is a jam on this road
-8160402440042765138,Free Press Journal,2025-09-16T07:50:47.000Z,"#Opinion: India Needs More Upright Officers Like Anjali Krishna

 Abhay Mokashi

 
https://
freepressjournal.in/mumbai/mumbai-
massive-traffic-jam-on-coastal-road-southbound-video
…

#ipsanjali  #anjalikrishna #policeofficer #FPJ","opinion india needs more upright officers like anjali krishna

 abhay mokashi

 

freepressjournalinmumbaimumbai
massivetrafficjamoncoastalroadsouthboundvideo


ipsanjali  anjalikrishna policeofficer fpj"
-6316442130183656239,Jayesh K S,2025-09-15T16:04:11.000Z,"@Uber_India
 
@Uber_Support
 
@airtelindia
 
@DelhiAirportGMR
 It is a terrible experience to book Uber at the T1 of Delhi Airport ,network is not available, booked cabs are not available in the parking with  the drivervs asking you to come out on then road because of traffic jam","
 

 

 

 it is a terrible experience to book uber at the t of delhi airport network is not available booked cabs are not available in the parking with  the drivervs asking you to come out on then road because of traffic jam"
7049635753607408547,BK,2025-09-15T07:55:36.000Z,"This is a classic scenario where the cars on the main road will anyway have to wait in the traffic jam up ahead, and yet won't let the side ways traffic pass. When this mindset changes, I would consider India to be a truly developed nation. This and letting ambulances pass freely",this is a classic scenario where the cars on the main road will anyway have to wait in the traffic jam up ahead and yet wont let the side ways traffic pass when this mindset changes i would consider india to be a truly developed nation this and letting ambulances pass freely
