tweet,ai_extracted
Read:,"```json
{
  ""traffic_related"": false,
  ""type"": ""other"",
  ""lat"": 0.0,
  ""lon"": 0.0
}
```"
"This video depicts a severe traffic jam in Gurugram, India, on the Delhi-Jaipur highway, caused by heavy rainfall and waterlogging on September 1, 2025. Commuters were stuck for hours in the congestion.","```json
{
""traffic_related"": true,
""type"": ""jam"",
""lat"": 28.4595,
""lon"": 77.0266
}
```"
"Checked the video. It shows a massive nighttime traffic jam with packed highways and city lights, matching recent reports of 20-km congestion in Gurugram, India, due to heavy rain on Sept 1, 2025. No matching recent events in Tianjin.","```json
{
  ""traffic_related"": true,
  ""type"": ""jam"",
  ""lat"": 28.4595,
  ""lon"": 77.0266
}
```"
"6-hour jam, zero complaints: Rapido driver wins hearts for enduring Gurgaon’s traffic congestion amid heavy rain

#viral #GurgaonRains #Trending #Gurgaontraffic","```json
{
""traffic_related"": true,
""type"": ""jam"",
""lat"": 28.4595,
""lon"": 77.0266
}
```"
This will improve more if we have good quality roads all over India irrespective of road. Like in pune city many roads are wide but in between roads are narrow. So no use of wide road and lot of congestion and traffic jam,"```json
{
  ""traffic_related"": true,
  ""type"": ""jam"",
  ""lat"": 18.5204,
  ""lon"": 73.8567
}
```"
"Inside India’s Growing Challenge of Traffic Congestion and Emergency Response -  
https://
questiqa.in/inside-indias-
growing-challenge-of-traffic-congestion-and-emergency-response/
… Summary – A tragic traffic jam on a national highway has raised urgent questions about India’s infrastructure and emergency medical response systems.,
  Article –
A tragic ...","```json
{
  ""traffic_related"": true,
  ""type"": ""jam"",
  ""lat"": 22.0,
  ""lon"": 79.0
}
```"
"#Traffic chaos on #Ghaziabad-Delhi-Meerut Expressway ahead of #RakhiCelebration, #DelhiPolice issues alert | Video

#DelhiNCR #noidapolice #rakhipurnima #Rakhi2025","```json
{
  ""traffic_related"": true,
  ""type"": ""jam"",
  ""lat"": 28.68,
  ""lon"": 77.48
}
```"
"This was the traffic jam in Hyderabad last evening, a scene we see across India.

It sends a clear message to growing Tier-II cities, plan now before it’s too late.

Vehicles would soon outnumber the roads. You can’t solve congestion without having an efficient public transport.","```json
{
  ""traffic_related"": true,
  ""type"": ""jam"",
  ""lat"": 17.3850,
  ""lon"": 78.4867
}
```"
"NoMatter howMany tunel r made unless number of vehicles is not reduced traffic jam wont decline CongestionTax-free BMTCbus n free cycle-only solutn 

Bengaluru trafic: DKShivakumar anounce 1.5km undrground road atHebbal to ease congstion 
https://
deccanherald.com/india/karnatak
a/bengaluru/bengaluru-traffic-dk-shivakumar-announces-15-km-underground-road-at-hebbal-to-ease-congestion-3667324?utm_source=twitter&utm_medium=referral&utm_campaign=socialshare
… via 
@deccanherald","```json
{
""traffic_related"": true,
""type"": ""jam"",
""lat"": 13.0388,
""lon"": 77.5910
}
```"
"That’s the problem with copy paste approach, it may work less crowded areas but not in India, we need more tailor made approach for our traffic congestion. Last night there is one km jam just because couple of cars occupied the other side of the road in bottle neck curve road.","```json
{
  ""traffic_related"": true,
  ""type"": ""jam"",
  ""lat"": 28.6139,
  ""lon"": 77.2090
}
```"
"Nala Sopara, Maharashtra: A 2-km-long traffic jam occurred near Tulinj Road Naka in Nala Sopara East around 9 AM, causing delays for commuters. Locals cited roadside encroachments, unregulated auto-rickshaw parking, and lack of traffic police as key reasons for the congestion","```json
{
  ""traffic_related"": true,
  ""type"": ""jam"",
  ""lat"": 19.4294,
  ""lon"": 72.8454
}
```"
"Delhi: Rainfall causes heavy jam at Mahipalpur underpass, leading to traffic congestion on the route from Vasant Kunj to the airport and Dhaula Kuan","```json
{
  ""traffic_related"": true,
  ""type"": ""jam"",
  ""lat"": 28.5501,
  ""lon"": 77.1042
}
```"
"Cars cause congestion and are responsible for many indirect fatalities such as this. 

We need to rethink a society without cars, or you could be on the news next.","```json
{
""traffic_related"": true,
""type"": ""other"",
""lat"": 0.0,
""lon"": 0.0
}
```"
"Delhi: A severe traffic jam on Mehrauli-Mahipalpur Road has left commuters stranded for hours, with the congestion stretching for several kilometers","```json
{
  ""traffic_related"": true,
  ""type"": ""jam"",
  ""lat"": 28.5280,
  ""lon"": 77.1450
}
```"
"#Delhi weather: Over 350 #flights delayed at #IGI airport amid heavy congestion | Check details

#DelhiAirport #DelhiRains #DelhiNews #DustStorm","```json
{
  ""traffic_related"": true,
  ""type"": ""other"",
  ""lat"": 28.5668,
  ""lon"": 77.1003
}
```"
"No fast lane here: Three of top five slowest cities are in India, reveals study #Bengaluru #Kolkata #Pune 
@IndiaToday
 #TomTomSurvey","```json
{
  ""traffic_related"": true,
  ""type"": ""jam"",
  ""lat"": 12.9716,
  ""lon"": 77.5946
}
```"
"World's biggest traffic jam, 300 km congestion choke people stranded for hours
CM 
@myogiadityanath
's message to Muslims: ‘Roads not meant for namaz; learn from Maha Kumbh’","```json
{
  ""traffic_related"": true,
  ""type"": ""jam"",
  ""lat"": 26.8467,
  ""lon"": 80.9462
}
```"
"Hindu festivals like Diwali & Maha Kumbh Mela likely cause more traffic trouble in India due to massive processions, shopping rushes, & travel, e.g., a 300 km jam during Kumbh. Muslim festivals like Eid al-Fitr see congestion near mosques & travel peaks, but it’s more localized.","```json
{
  ""traffic_related"": true,
  ""type"": ""jam"",
  ""lat"": 25.4358,
  ""lon"": 81.8463
}
```"
"Mumbai: A massive traffic jam occurred on the Mumbai-Goa Highway as Mumbai residents returned from Shimga Utsav celebrations, causing severe congestion on the Indapur-Mangaon and Mangaon-Pune National Highway with long vehicle queues","```json
{
  ""traffic_related"": true,
  ""type"": ""jam"",
  ""lat"": 18.19,
  ""lon"": 73.28
}
```"
"Th-1
India has become a nation perpetually stuck in traffic Jam. In cities like Hyderabad, traffic congestion is relentless—except for the brief window between 1 AM and 3 AM, the roads remain choked at all hours. This isn't just Hyderabad; Delhi, Mumbai, Chennai, Bangalore, Pune—","```json
{
  ""traffic_related"": true,
  ""type"": ""jam"",
  ""lat"": 17.3850,
  ""lon"": 78.4867
}
```"
"Rohtas, Bihar: Heavy traffic congestion on Sasaram National Highway is causing long delays, with 2 km taking 3-4 hours. Pilgrims travelling to and from Prayagraj Maha Kumbh are stranded for hours facing severe inconvenience due to the jam","```json
{
  ""traffic_related"": true,
  ""type"": ""jam"",
  ""lat"": 24.9312,
  ""lon"": 84.0152
}
```"
"Maha Kumbh rush triggers one of India’s biggest traffic jams; pilgrims stranded in 300 km traffic jam.The congestion was caused by the massive influx of pilgrims travelling to the Maha Kumbh Mela in Prayagraj, Uttar Pradesh, turning highways into endless parking lots.","```json
{
  ""traffic_related"": true,
  ""type"": ""jam"",
  ""lat"": 25.4358,
  ""lon"": 81.8463
}
```"
